CustomerID,Customer Name,Email,PURCHASE_DATE,Product,$$Price$$,Quantity,Status
1001,John Smith,john@email.com,2024-01-15,Laptop,$1,299.99,1,Completed
1002,JANE DOE,JANE@EMAIL.COM,15/01/2024,Mouse,$29.99,2,completed
1003,Bob  Johnson,bob@email,2024/01/16,Keyboard,"$49,99",1,Pending
1001,John Smith,john@email.com,2024-01-15,Laptop,$1299.99,1,Completed
,Anonymous User,,2024-01-17,Monitor,$199.99,NA,Completed
1004,Alice Brown,alice@email.com,2087-01-18,USB Cable,$9.99,100,Completed
1005,Charlie Wilson,charlie@email.com,2024-01-19,Headphones,NULL,1,Cancelled
1006,David Lee,david@email.com,01-20-24,Laptop,$1299.99,1,completed
1007,Emma Davis,emma@email.com,2024-01-21,Mouse,$29.99,-5,Completed
1008,Frank Miller,frank@email,2024-01-22,Keyboard,$49.99,2,Pending
1002,Jane Doe,jane@email.com,2024-01-15,Mouse,$29.99,2,Completed
